movie_id;tmdb_id;title;original_title;overview;poster_path;release_date;runtime
8090;;The Harvest;The Harvest;Documentaire sur les tristement célèbres enlèvements de Boko Haram au Nigéria en 2014.;;;0
7979;;Fargo;Fargo;Un vendeur de voitures d’occasion endetté fait enlever sa femme par deux petites frappes afin de toucher la rançon qui sera versée par son richissime beau-père. Mais le plan ne va pas résister longtemps à l’épreuve des faits et au flair d’une policière enceinte…;https://fr.web.img6.acsta.net/pictures/18/11/09/09/01/1014254.jpg;1996-09-04;97
7998;;Le Syndicat du crime 2;Yinghung bunsik II;On promet au gangster Sung Tse Ho de le sortir de prison s'il accepte d'assister son frère policier, Sung Tse Kit dans une mission périlleuse qui consiste à s'infiltrer au sein d'un gang.;https://fr.web.img6.acsta.net/img/b2/5a/b25a1d4cfcd5a165d4699544108064ce.jpg;1993-07-28;104
8052;;Hex;Hex;Trois femmes forment le groupe Witch Club Satan sans savoir jouer d’instruments. Liées par un pacte de trois ans pour devenir sorcières et musiciennes, elles utilisent le black metal pour libérer une puissance féminine brute.;;;92
7920;;Plus fort que moi;I Swear;Dans les années 1980, John Davidson grandit avec le syndrome de Gilles de la Tourette, une pathologie encore largement méconnue. Entre incompréhension, stigmatisation et détermination, son parcours d’abord semé d'embûches se transforme en combat pour être reconnu tel qu’il est, au-delà des préjugés.;https://fr.web.img6.acsta.net/img/8f/b7/8fb759142fd32992ed10f00b082d92fd.jpg;2026-04-01;121
7965;;Black Panthers;Black Panthers;Documentaire tourné à Oakland (Californie) au cours des manifestations autour du procès de Huey Newton, leader des activistes noirs... Au temps où les Black Panthers avaient un programme et des projets, avec entraînement des troupes, meetings, danses et déclarations, au temps où les Black Panthers inquiétaient les USA.;https://fr.web.img6.acsta.net/pictures/14/06/30/11/49/450376.jpg;2014-07-30;31
8079;;Casablanca;Casablanca;Dans son night-club marocain, le cynique Rick Blaine ferme les yeux sur la misère de la Seconde Guerre mondiale jusqu’à ce que son ancienne amante, Ilsa Lund, entre dans la pièce, forçant Rick à choisir entre vivre avec la femme qu’il aime et devenir le héros dont elle a besoin.;https://fr.web.img6.acsta.net/medias/nmedia/18/64/83/80/20247449.jpg;1947-05-13;102
7889;;L'Oeuvre invisible;L'Oeuvre invisible;Alexandre Trannoy. Le nom de ce réalisateur ne vous dit rien ? C’est normal : malgré 30 ans de projets, et de tournages avec Jean Rochefort, Anouk Aimée ou Lino Ventura, Trannoy n’a jamais réussi à terminer le moindre film… Enquête haletante sur un rêveur sublime.;https://fr.web.img6.acsta.net/img/50/34/50344871a9a9ffb1dcde67a1bfb50ee6.jpg;2026-04-08;71
7890;;L'argent, la liberté, une histoire du franc CFA;L'argent, la liberté, une histoire du franc CFA;1960 amorce la fin des empires coloniaux sur le continent africain. La France disparait de la carte… en théorie seulement. Le franc CFA, monnaie rattachée au Trésor Français depuis ses origines, circule toujours sur la quasi-totalité de ses anciens territoires au Sud du Sahara. Adossé aujourd’hui à l’euro, il offre un accès privilégié aux marchés africains. Sur la scène diplomatique le système CFA confère un rôle central à Paris qui est perçue comme « garant » pour la communauté internationale. Quatorze États conservent encore ce curieux héritage. Quelles en sont les raisons ? Au bout de l’Histoire, il y a la Fable.​;https://fr.web.img6.acsta.net/img/51/60/5160a1f8efe640a7a569da4a100b42cd.jpg;;90
7891;;Na China;Na China;Jackie, Julie et Shanny font partie des milliers d’Africains installés en Chine. Comme elles, des milliers de jeunes femmes et hommes partent chercher à Canton la possibilité de faire fortune, de se former ou de monter une affaire se débattant dans l’économie globalisée chinoise. Baskets Nike au kilo, sacs Vuitton par colis de 100, chemises Gucci en palettes... tous les jours, ces petits ou gros investisseurs, débutants ou expérimentés, achètent et expédient des tonnes de marchandises qui s’entassent dans des containers à destination de Douala, Lagos ou Mombasa.;https://fr.web.img6.acsta.net/img/4d/c4/4dc4a35fb967e0a5cdc06af3ca8679f6.jpg;2023-12-03;71
